"","base"
"2014-02-01",-267.709092463777
"2014-03-01",-115.393107444232
"2014-04-01",118.902407905495
"2014-05-01",1357.25792818869
"2014-06-01",1921.50968937406
"2014-07-01",697.467920478672
"2014-08-01",-289.648470978378
"2014-09-01",-82.303740153092
"2014-10-01",715.658001547642
"2014-11-01",-85.8650361821037
"2014-12-01",-243.999714824942
"2015-01-01",-315.067731541909
"2015-02-01",-267.709092463777
"2015-03-01",-115.393107444232
"2015-04-01",118.902407905495
