"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Fcst"
"108","KIRSZNER.LAURIE.G.","1457666529","9781457666520","PATTERNS.FOR.COLLEGE.WRITING.13E",2014-11-21,"PT","AS",8163,24,0,1353,10808.8830946039
"109","RUSZKIEWICZ.JOHN.J.","1457667045","9781457667046","HOW.TO.WRITE.ANYTHING.3E",2014-12-30,"PT","AS",809,0,0,5,0
"110","PALMQUIST.MIKE","1457674548","9781457674549","BEDFORD.RESEARCHER.5E",2014-12-29,"PT","AS",1611,0,0,150,0
"111","MCKAY.JOHN.P.","1457685264","9781457685262","HISTORY.WORLD.SOC.10E.VAL.CMB",2014-09-12,"PT","AS",622,0,0,0,390.553365146109
"112","MCKAY.JOHN.P.","1457685329","9781457685323","HISTORY.WORLD.SOC.10E.VAL.V1",2014-09-12,"PT","AS",2741,0,0,50,1401.58679524297
"113","O.HAIR.DAN","145768540X","9781457685408","LL.REAL.COMMUNICATION.3E",2014-11-14,"LL","AS",571,0,0,0,406.77971756189
"114","HACKER.DIANA","1457686392","9781457686399","LPAD.ACS.12M.WRITERS.REFERENCE.8E",2014-12-15,"IN","AS",3904,0,5,2743,2963.13760863513
"115","RAMPOLLA.MARY.LYNN","1457690888","9781457690884","POCKET.GUIDE.WRITING.HISTORY.8E",2015-01-16,"PT","AS",5704,0,0,1,0
"116","HACKER.DIANA","1457697351","9781457697357","CP.BDF.HBK.9E.C.SAM.HOUSTON.STATE",2014-07-01,"CU","AS",377,0,0,55,602.67033261061
"117","HACKER.DIANA","1457699729","9781457699726","CP.EX.REF.7E.WID.WAL.LONE.STAR.CYFA",2014-08-08,"CU","AS",392,0,0,0,863.396904904586
"118","SOWDER.JUDITH","1464103356","9781464103353","RECONCEPTUALIZING.MATHEMATICS.2E",2012-12-28,"PT","AS",189,0,0,149,990.03350163459
