Author,Isbn,Ean,Title,Pub Date,Medium,Ans Code,Available,Consignment On Hand,Reserved Stock,Sets Made Up,Month,Gross Units,Return Units,Prev Edition Isbn,Prev Edition Ean
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201412,209,2,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201501,36,1,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201502,3,40,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201503,5,81,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201504,6,28,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201505,1,2,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201506,1,9,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201507,20,0,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201508,243,5,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201509,37,75,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201510,26,71,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201511,21,28,,
"REVLIN, RUSSELL",0716756676,9780716756675,COGNITION:THEORY&PRACTICE,2/24/2012 12:00AM,CT,AS,372,31,0,8,201512,24,0,,
"KIRSZNER, LAURIE G.",1319041086,9781319041083,CP PATTERNS 13E HUDSON VALLEY CC,7/29/2015 12:00AM,CU,AS,305,0,0,0,201507,400,0,,
"KIRSZNER, LAURIE G.",1319041086,9781319041083,CP PATTERNS 13E HUDSON VALLEY CC,7/29/2015 12:00AM,CU,AS,305,0,0,0,201508,1800,0,,
"KIRSZNER, LAURIE G.",1319041086,9781319041083,CP PATTERNS 13E HUDSON VALLEY CC,7/29/2015 12:00AM,CU,AS,305,0,0,0,201509,101,0,,
"KIRSZNER, LAURIE G.",1319041086,9781319041083,CP PATTERNS 13E HUDSON VALLEY CC,7/29/2015 12:00AM,CU,AS,305,0,0,0,201510,190,0,,
"KIRSZNER, LAURIE G.",1319041086,9781319041083,CP PATTERNS 13E HUDSON VALLEY CC,7/29/2015 12:00AM,CU,AS,305,0,0,0,201511,104,0,,
"HOCKENBURY, SANDRA E.",1319041957,9781319041953,CP PSYCHOLOGY 7E IDAHO STATE,7/31/2015 12:00AM,CU,AS,317,0,0,0,201508,535,0,,
"HOCKENBURY, SANDRA E.",1319041957,9781319041953,CP PSYCHOLOGY 7E IDAHO STATE,7/31/2015 12:00AM,CU,AS,317,0,0,0,201509,75,0,,
"HOCKENBURY, SANDRA E.",1319041957,9781319041953,CP PSYCHOLOGY 7E IDAHO STATE,7/31/2015 12:00AM,CU,AS,317,0,0,0,201510,0,17,,
"HOCKENBURY, SANDRA E.",1319041957,9781319041953,CP PSYCHOLOGY 7E IDAHO STATE,7/31/2015 12:00AM,CU,AS,317,0,0,0,201511,70,0,,
"FREEDMAN, ROGER A.",1319042406,9781319042400,UNIVERSE STARS GALAX 5E REPRINT,7/29/2015 12:00AM,PT,AS,792,0,0,0,201506,0,0,,
"FREEDMAN, ROGER A.",1319042406,9781319042400,UNIVERSE STARS GALAX 5E REPRINT,7/29/2015 12:00AM,PT,AS,792,0,0,0,201507,0,0,,
"FREEDMAN, ROGER A.",1319042406,9781319042400,UNIVERSE STARS GALAX 5E REPRINT,7/29/2015 12:00AM,PT,AS,792,0,0,0,201508,257,0,,
"FREEDMAN, ROGER A.",1319042406,9781319042400,UNIVERSE STARS GALAX 5E REPRINT,7/29/2015 12:00AM,PT,AS,792,0,0,0,201509,0,0,,
"FREEDMAN, ROGER A.",1319042406,9781319042400,UNIVERSE STARS GALAX 5E REPRINT,7/29/2015 12:00AM,PT,AS,792,0,0,0,201511,184,0,,
"FREEDMAN, ROGER A.",1319042430,9781319042431,LL UNIVERSE 10E REPRINT,7/29/2015 12:00AM,LL,AS,498,0,0,1,201507,0,0,,
"FREEDMAN, ROGER A.",1319042430,9781319042431,LL UNIVERSE 10E REPRINT,7/29/2015 12:00AM,LL,AS,498,0,0,1,201508,322,0,,
"FREEDMAN, ROGER A.",1319042430,9781319042431,LL UNIVERSE 10E REPRINT,7/29/2015 12:00AM,LL,AS,498,0,0,1,201509,47,8,,
"FREEDMAN, ROGER A.",1319042430,9781319042431,LL UNIVERSE 10E REPRINT,7/29/2015 12:00AM,LL,AS,498,0,0,1,201510,4,92,,
"FREEDMAN, ROGER A.",1319042430,9781319042431,LL UNIVERSE 10E REPRINT,7/29/2015 12:00AM,LL,AS,498,0,0,1,201511,19,11,,
"FREEDMAN, ROGER A.",1319042430,9781319042431,LL UNIVERSE 10E REPRINT,7/29/2015 12:00AM,LL,AS,498,0,0,1,201512,57,0,,
"FREEDMAN, ROGER A.",1319042465,9781319042462,UNIVERSE SOLAR SYSTEM 5E REPRINT,7/29/2015 12:00AM,PT,AS,698,10,0,0,201507,0,0,,
"FREEDMAN, ROGER A.",1319042465,9781319042462,UNIVERSE SOLAR SYSTEM 5E REPRINT,7/29/2015 12:00AM,PT,AS,698,10,0,0,201508,487,0,,
"FREEDMAN, ROGER A.",1319042465,9781319042462,UNIVERSE SOLAR SYSTEM 5E REPRINT,7/29/2015 12:00AM,PT,AS,698,10,0,0,201509,0,32,,
"FREEDMAN, ROGER A.",1319042465,9781319042462,UNIVERSE SOLAR SYSTEM 5E REPRINT,7/29/2015 12:00AM,PT,AS,698,10,0,0,201510,30,28,,
"FREEDMAN, ROGER A.",1319042465,9781319042462,UNIVERSE SOLAR SYSTEM 5E REPRINT,7/29/2015 12:00AM,PT,AS,698,10,0,0,201511,17,38,,
"FREEDMAN, ROGER A.",1319042465,9781319042462,UNIVERSE SOLAR SYSTEM 5E REPRINT,7/29/2015 12:00AM,PT,AS,698,10,0,0,201512,0,0,,
"MOORE, DAVID S.",1319044239,9781319044237,CP LL BASIC PRAC STAT 7E ETSU,8/7/2015 12:00AM,CU,AS,1660,0,0,8,201508,1444,0,,
"MOORE, DAVID S.",1319044239,9781319044237,CP LL BASIC PRAC STAT 7E ETSU,8/7/2015 12:00AM,CU,AS,1660,0,0,8,201509,24,0,,
"MOORE, DAVID S.",1319044239,9781319044237,CP LL BASIC PRAC STAT 7E ETSU,8/7/2015 12:00AM,CU,AS,1660,0,0,8,201511,14,0,,
"ROGAWSKI, JON",1319053416,9781319053413,CP LL CALC ET SV 3E CENTRAL WASH,8/1/2015 12:00AM,CU,AS,142,0,0,0,201508,175,0,,
"ROGAWSKI, JON",1319053416,9781319053413,CP LL CALC ET SV 3E CENTRAL WASH,8/1/2015 12:00AM,CU,AS,142,0,0,0,201509,56,0,,
"ROGAWSKI, JON",1319053416,9781319053413,CP LL CALC ET SV 3E CENTRAL WASH,8/1/2015 12:00AM,CU,AS,142,0,0,0,201511,78,0,,
"MORRIS, JAMES R.",1319056911,9781319056919,HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,CT,AS,2080,0,0,674,201507,0,0,1429218703,9781429218702
"MORRIS, JAMES R.",1319056911,9781319056919,HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,CT,AS,2080,0,0,674,201508,2503,0,1429218703,9781429218702
"MORRIS, JAMES R.",1319056911,9781319056919,HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,CT,AS,2080,0,0,674,201509,1110,208,1429218703,9781429218702
"MORRIS, JAMES R.",1319056911,9781319056919,HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,CT,AS,2080,0,0,674,201510,24,318,1429218703,9781429218702
"MORRIS, JAMES R.",1319056911,9781319056919,HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,CT,AS,2080,0,0,674,201511,401,860,1429218703,9781429218702
"MORRIS, JAMES R.",1319056911,9781319056919,HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,CT,AS,2080,0,0,674,201512,12,41,1429218703,9781429218702
"MORRIS, JAMES R.",131905692X,9781319056926,HOW LIFE WORKS V1 REPRINT,7/24/2015 12:00AM,PT,OS,398,0,0,555,201508,1997,0,1464104271,9781464104275
"MORRIS, JAMES R.",131905692X,9781319056926,HOW LIFE WORKS V1 REPRINT,7/24/2015 12:00AM,PT,OS,398,0,0,555,201509,333,0,1464104271,9781464104275
"MORRIS, JAMES R.",131905692X,9781319056926,HOW LIFE WORKS V1 REPRINT,7/24/2015 12:00AM,PT,OS,398,0,0,555,201510,128,272,1464104271,9781464104275
"MORRIS, JAMES R.",131905692X,9781319056926,HOW LIFE WORKS V1 REPRINT,7/24/2015 12:00AM,PT,OS,398,0,0,555,201511,32,54,1464104271,9781464104275
"MORRIS, JAMES R.",1319056938,9781319056933,LL HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,LL,AS,2307,0,0,1942,201508,5113,0,1464104298,9781464104299
"MORRIS, JAMES R.",1319056938,9781319056933,LL HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,LL,AS,2307,0,0,1942,201509,1411,206,1464104298,9781464104299
"MORRIS, JAMES R.",1319056938,9781319056933,LL HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,LL,AS,2307,0,0,1942,201510,32,911,1464104298,9781464104299
"MORRIS, JAMES R.",1319056938,9781319056933,LL HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,LL,AS,2307,0,0,1942,201511,545,745,1464104298,9781464104299
"MORRIS, JAMES R.",1319056938,9781319056933,LL HOW LIFE WORKS REPRINT,7/24/2015 12:00AM,LL,AS,2307,0,0,1942,201512,240,683,1464104298,9781464104299
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200104,1,0,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200107,481,0,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200108,809,0,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200109,347,0,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200110,59,21,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200111,30,104,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200112,977,190,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200201,447,0,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200202,0,65,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200203,18,89,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200204,30,165,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200205,38,72,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200206,155,198,,
