"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Prev.Edition.Isbn","Prev.Edition.Ean","Review","OQ.3","OQ.6","OQ.9","OQ.12","OQ.15"
"221","RAYNER.CANHAM.GEOFF","1464125570","9781464125577","DESCRIPTIVE.INORGANIC.CHEM.6E",2013-12-22,"CT","AS",74,110,0,24,"1429218142","9781429218146","Print review",1304,1583,7997,9483,10787
"222","MARSDEN","716749920","9780716749929","VECTOR.CALCULUS.5E",2003-08-01,"CT","NR",0,0,0,0,"716724324","9780716724322","Print review",2001,2477,2669,2456,4457
"223","BALL.LAURENCE","716759349","9780716759348","MONEY.BANKING.FIN.MARKETS",2008-12-12,"CT","NR",0,0,0,0,"",NA,"Print review",447,893,1340,1786,2233
"224","GUINN.DENISE","716761211","9780716761211","ESSENTIALS.OF.GOB.1E",2009-09-15,"CT","NR",0,5,0,0,"",NA,"Print review",-445,-1247,27,-249,-694
"225","NELSON.DAVID.L.","071677108X","9780716771081","PRIN.BIOCHEM.5E",2008-02-01,"CT","NR",0,31,0,153,"716743396","9780716743392","Print review",-116,-290,-520,-808,-1153
"226","SOWDER.JUDITH","716771969","9780716771968","RECONCEPTUALIZING.MATHEMATICS.PAPER",2009-12-25,"PT","NR",0,0,0,0,"",NA,"Print review",423,-403,3593,3147,3570
"227","TIPLER.MOSCA","071678338X","9780716783381","PHYSICS.5E.V1.CH.1.20.R.P",2002-12-20,"PT","NR",0,33,0,0,"",NA,"Print review",2634,2207,4098,3803,6437
"228","RICKLEFS.ROBERT.E.","716786974","9780716786979","ECONOMY.OF.NATURE.6E",2008-12-17,"PT","NR",0,70,0,0,"071673883X","9780716738831","Print review",604,462,3647,3763,4367
"229","KOLB.BRYAN","716795868","9780716795865","FUND.OF.HUMAN.NEUROPSYCH.6E",2008-02-08,"CT","OSI",0,1383,0,0,"716753006","9780716753001","Print review",756,-1006,-751,-2836,-3020
"230","JACOBUS.LEE.A.","312385331","9780312385330","WORLD.OF.IDEAS.8E",2009-03-03,"PT","NR",0,0,0,0,"",NA,"Print review",34,68,102,135,169
