"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Prev.Edition.Isbn","Prev.Edition.Ean","Review","OQ.3","OQ.6","OQ.9","OQ.12","OQ.15"
"26","TIPLER.PAUL.A.","1429201320","9781429201322","PHYSICS.6E.V1.CH.1.20.",2007-01-05,"PT","AS",1084,200,0,67,"071678338X","9780716783381","No Review",64,-94,1371,2031,2096
"27","HANDELSMAN.JO","1429201886","9781429201889","SCIENTIFIC.TEACHING",2006-12-15,"CT","AS",448,32,0,0,"",NA,"No Review",113,144,1173,1562,1675
"28","MARSDEN.JERROLD.E.","1429215089","9781429215084","VECTOR.CALCULUS.6E",2011-12-16,"CT","AS",1822,135,0,0,"0716749920","9780716749929","No Review",309,618,928,1237,1546
"29","GUINN.DENISE","1429231246","9781429231244","ESSENTIAL.GEN.ORG.BIOCHEM.2E",2014-01-15,"CT","AS",208,261,0,97,"0716761211","9780716761211","No Review",211,123,1902,2283,2495
"30","NELSON.DAVID.L.","1429234148","9781429234146","PRIN.OF.BIOCHEM.6E",2012-11-21,"CT","AS",1655,1477,0,792,"071677108X","9780716771081","No Review",48,56,332,418,466
"31","LIGHTFOOT.CYNTHIA","1429243287","9781429243285","DEV.OF.CHILD.7E.C",2012-05-04,"CT","AS",747,830,0,148,"1429202254","9781429202251","No Review",48,96,144,192,240
"32","BALL.LAURENCE","1429244097","9781429244091","MONEY.BANK.FIN.MRKTS.2E",2011-02-25,"CT","AS",680,27,0,19,"0716759349","9780716759348","No Review",1370,2310,7273,9085,10456
"33","RICKLEFS.ROBERT.E.","1429249951","9781429249959","ECONOMY.OF.NATURE.7E",2013-12-16,"PT","AS",167,532,0,56,"0716786974","9780716786979","No Review",-83,-385,1147,1234,1151
"34","MOORE.DAVID","1429254890","9781429254892","SCC.8E",2012-11-09,"PT","NAB",0,0,0,1200,"1429201258","9781429201254","No Review",221,443,664,885,1106
"35","RAY.MARGARET","142925730X","9781429257305","HS.AP.KRUGMAN.MACROECONOMICS",2010-07-30,"CT","AS",295,684,0,421,"",NA,"No Review",727,2442,5143,8832,13508
"36","COWEN.TYLER","1429278390","9781429278393","MOD.PRIN.ECON.3E",2014-12-12,"CT","AS",1258,785,0,0,"",NA,"No Review",156,302,996,1292,1448
"37","COWEN.TYLER","1429278404","9781429278409","MOD.PRIN.MACRO.3E",2014-12-12,"PT","AS",2532,709,0,7,"",NA,"No Review",795,1590,2385,3180,3975
"38","COWEN.TYLER","1429278412","9781429278416","MOD.PRIN.MICRO.3E",2014-12-12,"PT","AS",2912,1036,0,54,"",NA,"No Review",0,0,0,0,0
"39","CHIANG.ERIC","1429278471","9781429278478","CORE.MICRO.3E",2013-10-25,"PT","AS",757,10,0,316,"",NA,"No Review",0,0,0,0,0
"40","CHIANG.ERIC","1429278498","9781429278492","CORE.MACRO.3E",2013-12-09,"PT","AS",1208,10,0,623,"",NA,"No Review",0,0,0,0,0
"41","MOORE.DAVID.S.","1429279516","9781429279512","PSBE.3E.LL",2010-09-13,"LL","NAB",0,0,0,242,"1429240121","9781429240123","No Review",825,1650,2476,3301,4126
"42","BERGER.KATHLEEN.STASSEN","1429283815","9781429283816","DEV.PERSON.THROUGH.LIFESPAN.9E.C",2014-05-12,"CT","AS",3094,1958,0,159,"",NA,"No Review",780,1559,2339,3118,3898
"43","ROGAWSKI.JON","1429288841","9781429288842","AP.TRCD.CALC.ET",2011-08-04,"CR","AS",263,54,0,0,"",NA,"No Review",259,329,683,1021,1279
"44","NELSON.DAVID.L.","1429293128","9781429293129","LL.PRINCIPLES.BIOCHEM.6E",2012-11-28,"LL","AS",378,0,46,515,"1429222638","9781429222631","No Review",0,0,0,0,0
"45","NELSON.DAVID.L.","1429294760","9781429294768","SG.SM.PRIN.BIOCHEM.6E",2013-01-15,"PT","AS",2443,730,0,69,"1429212411","9781429212410","No Review",0,0,0,0,0
"46","COMER.RONALD.J.","1429295635","9781429295635","FUNDAMENTALS.ABNORMAL.PSYCH.7E",2013-03-11,"PT","AS",35,374,0,291,"1429216336","9781429216333","No Review",21,42,63,84,105
"47","GRIGGS.RICHARD.A.","1429298901","9781429298902","CONCISE.INTRO.PSYCH.4E",2014-01-10,"PT","AS",600,419,0,108,"1429240792","9781429240796","No Review",549,1117,4150,5697,6245
"48","SHRIVER.DUWARD","1429299061","9781429299060","INORGANIC.CHEMISTRY.6E.P",2014-01-01,"PT","AS",1275,0,0,26,"1429218207","9781429218207","No Review",1213,2427,3640,4854,6067
"49","MOORE.DAVID.S.","1464133379","9781464133374","LL.INTRO.PRAC.STATS.8E",2014-02-07,"LL","NAB",0,0,0,274,"1429283408","9781429283403","No Review",441,1018,2566,3620,4083
"50","DOMOSH.MONA","1464133441","9781464133442","CONTEMPORARY.HUMAN.GEO.1E",2014-12-19,"PT","AS",1080,102,0,22,"1429240180","9781429240185","No Review",65,129,194,259,324
"51","MOORE.DAVID","1464133611","9781464133619","SSG.SM.INTRO.PRACT.STATS.8E",2014-04-25,"SG","AS",262,0,0,0,"1429273712","9781429273718","No Review",0,0,0,0,0
"52","MOHRIG.JERRY.R.","1464134227","9781464134227","LAB.TECHNIQUES.ORGANIC.CHEMISTRY.4E",2014-03-01,"PT","AS",6117,348,0,152,"1429219564","9781429219563","No Review",0,0,0,0,0
"53","DOMOSH.MONA","1464134596","9781464134593","LL.CONTEMP.HUMAN.GEO.1E",2014-12-29,"LL","AS",386,0,0,0,"1429253533","9781429253536","No Review",0,0,0,0,0
"54","COSTANZO.MARK","1464138907","9781464138904","FORENSIC..LEGAL.PSYCHOLOGY.2E",2014-11-07,"CT","AS",838,14,0,0,"1429205784","9781429205788","No Review",0,0,0,0,0
"55","BERGER.KATHLEEN.STASSEN","1464139792","9781464139796","LL.DEV.PERS.THRU.LIFESPAN.9E",2014-05-12,"LL","AS",3946,0,0,721,"1429234458","9781429234450","No Review",0,0,0,0,0
"56","GRAY.PETER.O.","1464141959","9781464141959","PSYCHOLOGY.7E",2014-04-30,"CT","AS",586,1694,0,6,"1429219475","9781429219471","No Review",0,0,0,0,0
"57","CHIANG.ERIC","1464143277","9781464143274","COREMACROECONOMICS.LL.3E",2013-12-09,"LL","AS",1966,10,0,80,"1429263318","9781429263313","No Review",0,0,0,0,0
"58","CHIANG.ERIC","1464143307","9781464143304","COREMICROECON.LL.3E",2013-10-25,"LL","AS",1297,0,0,265,"",NA,"No Review",0,0,0,0,0
"59","KRUGMAN.PAUL","1464143846","9781464143847","ECONOMICS.4E",2015-03-30,"CT","AS",5096,278,0,306,"1429251638","9781429251631","No Review",0,0,0,0,0
"60","KRUGMAN.PAUL","1464143870","9781464143878","MICROECONOMICS.4E.P",2014-12-30,"PT","AS",8522,2267,0,166,"1429283424","9781429283427","No Review",0,0,0,0,0
"61","KRUGMAN.PAUL","1464144745","9781464144745","LL.ECONOMICS.4E",2015-03-30,"LL","AS",2093,0,0,116,"1464103828","9781464103827","No Review",941,1881,2822,3762,4703
"62","KRUGMAN.PAUL","146414477X","9781464144776","LL.MACROECONOMICS.4E",2015-04-17,"LL","AS",9499,0,0,1061,"1464104050","9781464104053","No Review",686,1371,2057,2742,3428
"63","KRUGMAN.PAUL","146414480X","9781464144806","LL.MICROECONOMICS.4E",2014-12-30,"LL","AS",5385,0,0,871,"1429242671","9781429242677","No Review",0,0,0,0,0
"64","GUINN.DENISE","1464150281","9781464150289","ESS.GOB.2E.LL",2014-01-15,"LL","AS",251,0,0,172,"1429262400","9781429262408","No Review",0,0,0,0,0
"65","PIERCE.BENJAMIN.A.","1464150850","9781464150852","LL.GENETICS.5E",2013-12-26,"LL","AS",825,0,0,406,"142923251X","9781429232517","No Review",0,0,0,0,0
"66","SULLIVAN.MICHAEL","1464152780","9781464152788","CALC.COMBO.1E.LL",2014-03-14,"LL","AS",1026,0,0,403,"",NA,"No Review",0,0,0,0,0
"67","KRUGMAN.PAUL","1464153264","9781464153266","LL.ECONOMICS.IN.MODULES.3E",2014-05-16,"LL","AS",528,0,0,19,"1429289759","9781429289757","No Review",0,0,0,0,0
"68","STARNES.DAREN.S.","1464153973","9781464153976","EXAMVIEW.ASSESS.AP.PRACT.STAT.5E",2014-07-15,"CO","AS",828,6,0,0,"1429262567","9781429262569","No Review",0,0,0,0,0
"69","HOCKENBURY.SANDRA.E.","1464155208","9781464155208","LL.PSYCHOLOGY.7E",2014-12-29,"LL","AS",1145,0,0,382,"",NA,"No Review",857,1715,2572,3429,4286
"70","WARD.MARK","1464157634","9781464157639","SSM.INTRODUCTION.PROBABILITY",2015-08-24,"SM","AS",473,0,0,0,"",NA,"No Review",0,0,0,0,0
"71","KARR.SUSAN","1464162204","9781464162206","SCI.AM.ENV.SCI.CHANG.WORLD.2E.P",2015-01-07,"PT","AS",4346,322,0,4,"1429219726","9781429219723","No Review",0,0,0,0,0
"72","MYERS.DAVID.G.","1464163367","9781464163364","EXP.PSYCH.DSM5.UPDATE.9E",2014-02-05,"PT","AS",3490,29,299,859,"1429266791","9781429266796","No Review",0,0,0,0,0
"73","MYERS.DAVID.G.","1464163383","9781464163388","EXP.PSYCH.9E.LL.DSM5.UPDATE",2014-02-05,"LL","AS",4051,0,0,904,"1464108404","9781464108402","No Review",0,0,0,0,0
"74","MYERS.DAVID.G.","1464163421","9781464163425","MOD.EXP.PSYCH.9E.P.DSM5.UPDATE",2014-02-05,"PT","AS",319,0,0,165,"1464111731","9781464111730","No Review",0,0,0,0,0
"75","HOCKENBURY.DON","1464163472","9781464163470","DISCO.PSYCH.6E.LL.DSM5.UPDATE",2014-03-28,"LL","AS",1760,0,0,873,"146410932X","9781464109324","No Review",0,0,0,0,0
"76","HOCKENBURY.DON","1464163499","9781464163494","DISCO.PSYCH.6E.P.DSM5.UPDATE",2014-03-28,"PT","AS",1036,3,0,341,"",NA,"No Review",0,0,0,0,0
"77","MYERS.DAVID.G.","1464170045","9781464170041","LL.PSYCHOLOGY.11E",2015-01-12,"LL","AS",9180,0,0,981,"1429299851","9781429299855","No Review",3422,6843,10265,13687,17108
"78","COMER.RONALD.J.","146417170X","9781464171703","ABNORMAL.PSYCHOLOGY.9E",2015-02-13,"CT","AS",9898,1658,0,533,"1429282541","9781429282543","No Review",0,0,0,0,0
"79","BALDI.BRIGITTE","1464175349","9781464175343","PSLS.3E.LL.CRUNCHIT.EESEE.ACS",2013-12-27,"PK","AS",1968,0,0,0,"",NA,"No Review",0,0,0,0,0
"80","BALDI.BRIGITTE","1464175365","9781464175367","PSLS.3E.C.CRUNCHIT.EESEE.ACS",2013-12-27,"PK","AS",732,836,0,0,"",NA,"No Review",0,0,0,0,0
"81","COMER.RONALD.J.","1464176019","9781464176012","LL.ABNORMAL.PSYCHOLOGY.9E",2015-02-10,"LL","AS",6731,0,0,414,"146410218X","9781464102189","No Review",0,0,0,0,0
"82","BERGER.KATHLEEN.STASSEN","1464177503","9781464177507","LL.INV.LIFESPAN.2E.DSM5.UPD",2014-01-24,"LL","AS",3856,0,0,318,"1464128928","9781464128929","No Review",0,0,0,0,0
"83","COMINS.NEIL.F.","1464181705","9781464181702","DISCOVERING.ESSENTIAL.UNIVERSE.6E",2014-12-22,"PT","AS",1074,0,0,16,"1429255196","9781429255196","No Review",0,0,0,0,0
"84","MOORE.DAVID.S.","1464184879","9781464184871","CP.VANIER.COLLEGE.SCC.8E.LL",2013-11-15,"CU","NAB",0,0,0,450,"",NA,"No Review",0,0,0,0,0
"85","LICHT.DEBORAH","146419873X","9781464198731","CP.MESSA.CC.SCI.AM.PSYCHOLOGY.1E.LL",2014-05-13,"CU","AS",224,0,0,7,"",NA,"No Review",0,0,0,0,0
"86","JOYCE.JAMES","0312080735","9780312080730","DEAD.CSCC",1993-12-15,"PT","AS",800,0,0,20,"",NA,"No Review",0,0,0,0,0
"87","GILMAN.CHARLOTTE.PERKINS","0312132921","9780312132927","YELLOW.WALLPAPER",1998-01-15,"PT","AS",273,0,0,0,"",NA,"No Review",263,526,789,1052,1315
"88","CALLOWAY.COLIN.G.ED.","0312133545","9780312133542","OUR.HEARTS.FELL.TO.THE.GROUND",1996-04-15,"PT","AS",580,0,0,46,"",NA,"No Review",0,0,0,0,0
"89","AROLA.KRISTIN.L.","1457600455","9781457600456","WRITER.DESIGNER",2014-01-09,"SP","AS",692,0,0,451,"",NA,"No Review",0,0,0,0,0
"90","JACOBUS.LEE.A.","1457604361","9781457604362","WORLD.OF.IDEAS.9E",2013-01-04,"PT","AS",4014,89,0,459,"0312385331","9780312385330","No Review",0,0,0,0,0
"91","LAWN.BEVERLY","1457604752","9781457604751","X40.SHORT.STORIES.4E",2012-07-09,"PT","AS",4398,0,0,110,"0312477104","9780312477103","No Review",0,0,0,0,0
"92","BROOKS.BRIAN.S.","1457604930","9781457604935","WORKING.WITH.WORDS.8E",2012-12-07,"PT","AS",1341,0,0,217,"0312560796","9780312560799","No Review",0,0,0,0,0
"93","JACOBUS.LEE.A.","1457606321","9781457606328","BEDFORD.INTRO.DRAMA.7E",2012-09-14,"PT","AS",2682,77,0,0,"0312474881","9780312474881","No Review",0,0,0,0,0
"94","JACOBUS.LEE.A.","145760633X","9781457606335","COMPACT.BEDFORD.INTRO.DRAMA.7E",2012-10-05,"PT","AS",1775,0,0,0,"031247489X","9780312474898","No Review",0,0,0,0,0
"95","CHARTERS.ANN","145760647X","9781457606472","LITERATURE..ITS.WRITERS.6E",2012-08-03,"PT","AS",3224,0,0,17,"0312556411","9780312556419","No Review",0,0,0,0,0
"96","GARDNER.JANET.E.","1457606496","9781457606496","READING..WRITING.ABOUT.LIT.3E",2012-08-03,"PT","AS",6059,15,0,228,"0312607571","9780312607579","No Review",0,0,0,0,0
"97","GARDNER.JANET.E.","145760650X","9781457606502","LITERATURE.PORTABLE.ANTH.3E",2012-08-03,"PT","AS",6177,0,0,30,"",NA,"No Review",-2,-227,427,839,837
"98","MEYER.MICHAEL","1457607301","9781457607301","POETRY.7E",2012-08-03,"PT","AS",959,0,0,69,"0312539193","9780312539191","No Review",155,131,-22,207,362
"99","BROOKS.BRIAN.S.","1457607409","9781457607400","WBK.WORKING.WITH.WORDS.8E",2012-12-07,"PT","AS",992,0,0,43,"0312560818","9780312560812","No Review",54,71,362,522,575
"100","MISSOURI.GROUP","1457609118","9781457609114","TELLING.THE.STORY.5E",2012-11-26,"PT","AS",1016,0,0,81,"0312554303","9780312554309","No Review",775,1551,2326,3101,3877
"101","AARON.JANE.E.","1457610248","9781457610240","X40.MODEL.ESSAYS.2E",2012-12-07,"PT","AS",1601,0,0,346,"031243829X","9780312438296","No Review",609,1067,3741,4587,5196
"102","KARDOS.MICHAEL","1457613905","9781457613906","ART.AND.CRAFT.OF.FICTION",2012-12-28,"PT","AS",1444,0,0,51,"",NA,"No Review",1248,2168,5682,7948,9196
"103","REILLY.KEVIN","1457617838","9781457617836","WORLDS.OF.HISTORY.5E.V2",2013-01-04,"PT","AS",1246,0,0,96,"0312549881","9780312549886","No Review",231,415,1628,2012,2242
"104","BARNET.SYLVAN","1457622602","9781457622601","CURRENT.ISSUES.ENDUR.QUEST.10E",2013-08-23,"PT","AS",6395,51,0,30,"0312547323","9780312547325","No Review",81,124,550,776,856
"105","ROARK.JAMES.L.","1457631458","9781457631450","AMERICAN.PROMISE.CONCISE.5E.V1",2013-08-15,"PT","AS",765,0,0,995,"0312534078","9780312534073","No Review",231,321,1757,2290,2522
"106","REYNOLDS.NEDRA","1457632853","9781457632853","PORTFOLIO.KEEPING.3E",2013-08-09,"PT","AS",3236,0,0,193,"0312419090","9780312419097","No Review",336,542,1264,1784,2120
"107","ALRED.GERALD.J.","1457632993","9781457632990","BUSINESS.WRITERS.COMPANION.7E",2013-09-13,"SP","AS",2695,0,0,18,"0312631324","9780312631321","No Review",2140,2825,6877,9527,11667
"108","SHAKESPEARE.WILLIAM","0312166214","9780312166212","MIDSUMMER.NIGHTS.DREAM.P",1999-01-15,"PT","AS",730,0,0,0,"",NA,"No Review",2965,3911,10362,14206,17171
"109","SHAKESPEARE.WILLIAM","0312256248","9780312256241","MERCHANT.OF.VENICE.P",2002-03-04,"PT","AS",552,0,0,3,"",NA,"No Review",531,1062,1592,2123,2654
"110","MYERS.DAVID.G.","1319001254","9781319001254","CP.BAKERSFIELD.PSYCH.EVERDAY.LIFE3E",2014-07-14,"CU","AS",443,0,0,10,"",NA,"No Review",751,837,1754,1935,2686
"111","BERGER.KATHLEEN.STASSEN","1319003605","9781319003609","CP.GROSSMONT.DEV.PERS.C.A.DSM5.9E",2014-07-07,"CU","AS",248,0,0,10,"",NA,"No Review",4,-202,660,798,803
"112","MORRIS.JAMES.R.","1319005349","9781319005344","CP.UBC.BIOLOGY.HLW",2014-08-04,"CU","AS",369,0,0,0,"",NA,"No Review",0,0,1,1,1
"113","SCHACTER.DANIEL.L.","1319006302","9781319006303","CP.SIMON.FRASER.PSY.3E.VOL.1",2014-08-04,"CU","AS",280,0,0,0,"",NA,"No Review",160,279,919,1253,1413
"114","SCHACTER.DANIEL.L.","1319006329","9781319006327","CP.SIMON.FRASER.PSY.3E.VOL.2",2014-08-04,"CU","AS",298,0,0,0,"",NA,"No Review",461,735,1899,2778,3238
"115","BALDI.BRIGITTE","1319008011","9781319008017","CP.BELLEVUE.PRACTICE.OF.STATS.3E",2014-08-20,"CU","AS",201,0,0,3,"",NA,"No Review",1085,1492,4394,6173,7282
"116","MCKAY.JOHN.P.","1319021395","9781319021399","EXAMVIEW.TB.HS.HIS.WESTERN.SOC.11E",2015-08-31,"TB","AS",798,5,0,0,"",NA,"No Review",1034,1763,6064,8167,9200
"117","MYERS.DAVID.G.","1319024165","9781319024161","CP.MO.WESTERN.PSYCH.EDAY.LIFE.3E",2014-12-17,"CU","AS",348,0,0,0,"",NA,"No Review",1670,1840,4467,5087,6757
"118","ESCHHOLZ.PAUL","1457636913","9781457636912","SUBJECT.AND.STRATEGY.13E",2014-01-24,"PT","AS",1387,0,0,32,"0312612737","9780312612733","No Review",636,1263,4035,4866,5508
"119","SCHAKEL.PETER","1457636921","9781457636929","X250.POEMS.3E",2013-06-14,"PT","AS",2148,0,0,38,"0312466161","9780312466169","No Review",231,581,1040,1061,1291
"120","KENNEDY.X.J.","1457636964","9781457636967","BRIEF.BEDFORD.READER.12E",2014-01-10,"PT","AS",4485,69,0,180,"0312613385","9780312613389","No Review",-49,-216,130,290,241
"121","AXELROD.RISE.B.","1457638940","9781457638947","READING.CRITICALLY.WRITING.WELL.10E",2013-12-13,"PT","AS",5179,0,0,471,"031260761X","9780312607616","No Review",0,0,0,0,0
"122","MCKAY.JOHN.P.","1457642182","9781457642180","HIST.WEST.SOCIETY.11E.SINCE.1300",2013-09-20,"PT","AS",1266,0,0,7,"0312638272","9780312638276","No Review",0,0,0,0,0
"123","HENRETTA.JAMES.A.","1457648644","9781457648649","AMERICA.CONCISE.HISTORY.6E.V2",2014-07-18,"PT","AS",2139,0,0,244,"0312643292","9780312643294","No Review",0,0,0,0,0
"124","HENRETTA.JAMES.A.","1457648652","9781457648656","AMERICA.CONCISE.HISTORY.6E.V1",2014-07-18,"PT","AS",285,0,0,411,"0312643284","9780312643287","No Review",0,0,0,0,0
"125","MCCORNACK.STEVEN","1457649314","9781457649318","LL.CHOICES.AND.CONNECTIONS",2014-07-07,"LL","AS",1256,0,0,0,"",NA,"No Review",0,0,0,0,0
"126","BARNET.SYLVAN","1457650010","9781457650017","EBOOK.TO.GO.ACCESS.CURRENT.ISS.10E",2013-09-23,"EB","AS",300,0,0,0,"",NA,"No Review",0,0,0,0,0
"127","MEYER.MICHAEL","1457650517","9781457650512","LITERATURE.TO.GO.2E",2013-08-02,"PT","AS",3836,0,0,181,"0312624123","9780312624125","No Review",0,0,0,0,0
"128","MCKAY.JOHN.P.","1457652722","9781457652721","LL.HISTORY.WESTERN.SOCIETY.11E.V1",2013-09-20,"LL","AS",505,0,0,130,"0312653603","9780312653606","No Review",0,0,0,0,0
"129","PALMQUIST.MIKE","1457653168","9781457653162","JOINING.THE.CONVERSATION.BRIEF.2E",2014-02-04,"PT","AS",2941,-16,0,0,"0312412150","9780312412159","No Review",0,0,0,0,0
"130","MISSOURI.GROUP","1457653540","9781457653544","NEWS.REPORTING.AND.WRITING.11E",2013-11-15,"PT","AS",858,0,0,197,"0312618115","9780312618117","No Review",0,0,0,0,0
"131","ANKER.SUSAN","1457654105","9781457654107","REAL.SKILLS.INTERACTIVE",2013-08-30,"PT","AS",1158,0,0,71,"",NA,"No Review",0,0,0,0,0
"132","STRAYER.ROBERT.W.","1457658143","9781457658143","LPAD.ACC.WAYS.WORLD.DOC.2E.V2",2013-08-01,"IN","AS",426,0,0,348,"",NA,"No Review",205,411,616,822,1027
"133","ROTTENBERG.ANNETTE.T.","1457662361","9781457662362","ELEMENTS.OF.ARGUMENT.11E",2014-10-10,"PT","AS",6667,0,0,436,"0312646992","9780312646998","No Review",775,1549,2324,3098,3873
"134","O.HAIR.DAN","1457662922","9781457662928","REAL.COMMUNICATION.3E",2014-11-07,"PT","AS",1594,0,0,406,"0312644205","9780312644208","No Review",66,131,197,262,328
"135","CORRIGAN.TIMOTHY","1457663546","9781457663543","FILM.EXPERIENCE.4E",2014-11-24,"PT","AS",3828,1,0,42,"0312681704","9780312681708","No Review",368,1119,6085,7536,7904
"136","BARNET.SYLVAN","1457665328","9781457665325","CONTEMPORARY..CLASSIC.ARGU.2E",2013-12-11,"PT","AS",381,0,0,3,"0312436289","9780312436285","No Review",0,0,0,0,0
"137","KIRSZNER.LAURIE.G.","1457666529","9781457666520","PATTERNS.FOR.COLLEGE.WRITING.13E",2014-11-21,"PT","AS",6870,24,0,875,"",NA,"No Review",609,1217,1826,2435,3044
"138","RUSZKIEWICZ.JOHN.J.","1457667045","9781457667046","HOW.TO.WRITE.ANYTHING.3E",2014-12-30,"PT","AS",1602,0,0,61,"0312674902","9780312674908","No Review",0,0,0,0,0
"139","PALMQUIST.MIKE","1457674548","9781457674549","BEDFORD.RESEARCHER.5E",2014-12-29,"PT","AS",1383,0,0,117,"0312675127","9780312675127","No Review",0,0,0,0,0
"140","MCKAY.JOHN.P.","1457685264","9781457685262","HISTORY.WORLD.SOC.10E.VAL.CMB",2014-09-12,"PT","AS",1132,0,0,0,"",NA,"No Review",0,0,0,0,0
"141","MCKAY.JOHN.P.","1457685329","9781457685323","HISTORY.WORLD.SOC.10E.VAL.V1",2014-09-12,"PT","AS",2655,0,0,1,"",NA,"No Review",0,0,0,0,0
"142","O.HAIR.DAN","145768540X","9781457685408","LL.REAL.COMMUNICATION.3E",2014-11-14,"LL","AS",534,0,0,0,"1457602792","9781457602795","No Review",1038,1343,3317,4608,5645
"143","HACKER.DIANA","1457686392","9781457686399","LPAD.ACS.12M.WRITERS.REFERENCE.8E",2014-12-15,"IN","AS",3178,0,5,2389,"",NA,"No Review",0,0,0,0,0
"144","RAMPOLLA.MARY.LYNN","1457690888","9781457690884","POCKET.GUIDE.WRITING.HISTORY.8E",2015-01-16,"PT","AS",10660,0,0,1,"0312610416","9780312610418","No Review",0,0,0,0,0
"145","HACKER.DIANA","1457697351","9781457697357","CP.BDF.HBK.9E.C.SAM.HOUSTON.STATE",2014-07-01,"CU","AS",377,0,0,55,"",NA,"No Review",0,0,0,0,0
"146","SOWDER.JUDITH","1464103356","9781464103353","RECONCEPTUALIZING.MATHEMATICS.2E",2012-12-28,"PT","OS",75,0,0,142,"0716771969","9780716771968","No Review",0,0,0,0,0
"147","SCHACTER.DANIEL.L.","1464106037","9781464106033","PSYCHOLOGY.3E.C",2014-01-02,"CT","AS",4946,2046,0,1257,"1429237198","9781429237192","No Review",435,869,1304,1738,2173
"148","SCHACTER.DANIEL.L.","1464107815","9781464107818","INTRODUCING.PSYCHOLOGY.3E",2015-01-09,"PT","AS",6602,20,1,325,"1429242302","9781429242301","No Review",507,1014,1521,2028,2535
"149","LICHT.DEBORAH","1464108781","9781464108785","SCI.AM.PSYCHOLOGY.1E.LL",2014-01-29,"LL","AS",5465,0,0,1424,"",NA,"No Review",0,0,0,0,0
"150","SOWDER.JUDITH","1464108994","9781464108990","SSM.RECON.MATH.2E",2013-05-28,"SM","AS",195,0,0,0,"142925257X","9781429252577","No Review",0,0,0,0,0
"151","SOWDER.JUDITH","146410901X","9781464109010","LL.RECONCEPT.MATH.2E",2012-12-28,"LL","AS",1448,0,0,29,"1429264837","9781429264839","No Review",0,0,0,0,0
"152","STRAUB.RICHARD.O.","1464109370","9781464109379","HEALTH.PSYCHOLOGY.4E",2014-02-07,"CT","AS",495,933,0,9,"1429216328","9781429216326","No Review",565,1129,1694,2258,2823
"153","COWEN.TYLER","1464110174","9781464110177","LL.MODERN.PRINCIPLES.ECON.3E",2014-12-15,"LL","AS",2124,0,0,4,"142929292X","9781429292924","No Review",0,0,0,0,0
"154","COWEN.TYLER","1464110247","9781464110245","LL.MOD.PRIN.MACRO.3E",2014-12-30,"LL","AS",3895,0,0,60,"1429292709","9781429292702","No Review",0,0,0,0,0
"155","COWEN.TYLER","146411031X","9781464110313","LL.MOD.PRIN.MICRO.3E",2014-12-15,"LL","AS",2769,0,0,430,"1429293012","9781429293013","No Review",0,0,0,0,0
"156","KRUGMAN.PAUL","1464110379","9781464110375","MACROECONOMICS.4E.P",2015-04-14,"PT","AS",10633,2963,0,192,"1429283432","9781429283434","No Review",0,0,0,0,0
"157","SCHACTER.DANIEL.L.","1464113084","9781464113086","LL.INTRODUCING.PSYCH.3E",2015-01-09,"LL","AS",7005,0,0,1006,"1464108587","9781464108587","No Review",0,0,0,0,0
"158","ROGAWSKI.JON","1464114889","9781464114885","CALCULUS.ET.3E.C",2015-01-15,"CT","AS",3067,605,0,402,"1429208384","9781429208383","No Review",0,0,0,0,0
"159","NOLAN.SUSAN","1464122113","9781464122118","LL.STATS.BEHAV.SCI.3E",2014-05-09,"LL","AS",431,0,0,44,"1429287187","9781429287180","No Review",0,0,0,0,0
"160","RAY.MARGARET","1464122180","9781464122187","HS.AP.ECONOMICS.2E",2015-01-23,"CT","AS",8073,147,5,7,"1429218274","9781429218276","No Review",0,0,0,0,0
"161","ROGAWSKI.JON","1464125260","9781464125263","CALC.COMBO.3E.LT",2015-01-30,"CT","AS",2586,196,0,186,"1429208392","9781429208390","No Review",0,0,0,0,0
"162","BERG.JEREMY.M.","1464126100","9781464126109","BIOCHEMISTRY.8E",2015-04-08,"CT","AS",6114,4992,0,142,"1429229365","9781429229364","No Review",0,0,0,0,0
"163","TYMOCZKO.JOHN.L.","1464126135","9781464126130","BIOCHEM.SHORT.COURSE.3E",2015-04-24,"PT","AS",264,1308,81,248,"1429283602","9781429283601","No Review",222,501,1703,2444,2667
"164","COX.MICHAEL.M.","1464126143","9781464126147","MOLECULAR.BIOLOGY.2E",2015-03-16,"CT","AS",736,416,0,0,"0716779986","9780716779988","No Review",2149,4298,6447,8596,10746
"165","SHUSTER.MICHELE","1464126755","9781464126758","LL.SCI.AM.BIO.CHANGING.WORLD.2E",2014-03-07,"LL","AS",1672,0,0,592,"1429254718","9781429254717","No Review",0,0,0,0,0
"166","COX.MICHAEL.M.","716779986","9780716779988","MOLECULAR.BIO..PRIN.AND.PRACTICE",2011-02-11,"CT","OSI",0,570,0,428,"",NA,"No Review",0,0,0,0,0
"167","PALMQUIST.MIKE","312412150","9780312412159","JOINING.THE.CONVERSATION",2010-01-20,"PT","NR",0,0,0,185,"",NA,"No Review",81,161,242,323,403
"168","MISSOURI.GROUP","312554303","9780312554309","TELLING.THE.STORY.4E",2009-08-06,"PT","NR",447,5,0,0,"",NA,"No Review",387,593,2239,2817,3203
