"","base"
"2014-08-01",-99.7298494696795
"2014-09-01",-4.40622224540506
"2014-10-01",259.072164892488
"2014-11-01",112.844865601317
"2014-12-01",-64.1366492698961
"2015-01-01",-72.9625625032713
"2015-02-01",-54.6971141841989
"2015-03-01",-43.1462327849041
"2015-04-01",-55.1867398749174
"2015-05-01",26.2964240957877
"2015-06-01",221.962655748792
"2015-07-01",-18.7170328809686
"2015-08-01",-99.7298494696795
"2015-09-01",-4.40622224540506
"2015-10-01",259.072164892488
